-0.03413	0.01300	-0.03205	0.01950
-0.96171	-0.25506	-0.97846	-0.25418
-0.85316	-0.25409	-0.91151	-0.29134
-0.70727	-0.21812	-0.75993	-0.33897
-0.53878	-0.15709	-0.55471	-0.34302
-0.38760	-0.10946	-0.37509	-0.27912
-0.27063	-0.07698	-0.22584	-0.20578
-0.18544	-0.05168	-0.12351	-0.12608
-0.12535	-0.03000	-0.03937	-0.06383
-0.08394	-0.01148	0.01931	-0.03024
-0.05599	0.00369	0.04759	-0.01999
-0.03734	0.01551	0.04855	-0.01026
-0.02500	0.02432	0.03886	0.00027
-0.01683	0.03064	0.03186	0.00972
-0.01143	0.03499	0.02605	0.01855
-0.00784	0.03787	0.02031	0.02588
1.14858	0.87558	1.21070	0.91097
1.08909	0.62651	1.11121	0.76507
0.99788	0.44950	0.92645	0.63654
0.82686	0.33070	0.70595	0.48140
0.68766	0.27413	0.53899	0.31726
0.64891	0.22522	0.41700	0.16219
0.59672	0.16059	0.33041	0.01011
0.48691	0.10936	0.26607	-0.07922
0.36814	0.07293	0.20307	-0.11279
0.26793	0.04749	0.15679	-0.10866
0.19088	0.03073	0.11697	-0.08870
0.13356	0.02007	0.08654	-0.06629
0.09133	0.01323	0.06359	-0.04647
0.06012	0.00856	0.04558	-0.03097
0.03690	0.00516	0.03137	-0.02006
0.01947	0.00252	0.02023	-0.01315
-1.40210	0.54160	-1.39446	0.53320
-1.27876	0.48997	-1.18530	0.50518
-1.05561	0.38116	-0.82884	0.48905
-0.76385	0.28554	-0.50922	0.47021
-0.51040	0.25414	-0.27338	0.38279
-0.33473	0.23929	-0.14286	0.30922
-0.22099	0.20920	-0.09343	0.31592
-0.14678	0.16730	-0.07824	0.30564
-0.09782	0.12438	-0.05986	0.25851
-0.06502	0.08701	-0.02377	0.19661
-0.04267	0.05709	0.00651	0.13764
-0.02709	0.03418	0.02314	0.09455
-0.01605	0.01706	0.02945	0.06475
-0.00812	0.00445	0.03106	0.04545
-0.48238	-0.78032	-0.48748	-0.64577
-0.36136	-0.65568	-0.55624	-0.34487
-0.26277	-0.46290	-0.51608	-0.18724
-0.20794	-0.29740	-0.37158	-0.10636
-0.17556	-0.18488	-0.23922	-0.06486
-0.14889	-0.11627	-0.16174	-0.03787
-0.12216	-0.07606	-0.12141	-0.01107
-0.09587	-0.05206	-0.09228	0.00558
-0.07182	-0.03706	-0.06539	0.01016
-0.05119	-0.02711	-0.04213	0.00754
-0.03430	-0.02017	-0.02582	0.00404
-0.02090	-0.01515	-0.01804	0.00244
1.84376	-0.68656	1.72716	-0.68338
0.99849	0.10498	0.99849	0.10498
0.94921	0.07554	0.93711	0.03169
0.85588	0.01268	0.86022	-0.08028
0.74871	-0.01976	0.77584	-0.12738
0.59502	-0.03147	0.60832	-0.10289
0.42903	-0.03995	0.41733	-0.07340
0.29768	-0.03834	0.27480	-0.06179
0.20426	-0.03131	0.19192	-0.06789
0.13965	-0.02405	0.14348	-0.07561
0.09497	-0.01805	0.10885	-0.07311
0.06366	-0.01315	0.07897	-0.06108
0.04143	-0.00901	0.05117	-0.04583
0.02538	-0.00539	0.02647	-0.03046
0.01364	-0.00223	0.00593	-0.01661
0.00492	0.00052	-0.01027	-0.00527
-0.00162	0.00287	-0.02153	0.00276
-0.00657	0.00485	-0.02801	0.00668
-0.01036	0.00651	-0.02971	0.00503
-0.01326	0.00786	-0.02704	-0.00227
-0.01549	0.00896	-0.02067	-0.01159
-0.01720	0.00983	-0.01351	-0.01685
-0.01850	0.01052	-0.00853	-0.01526
-0.01948	0.01105	-0.00460	-0.01151
-0.02020	0.01145	-0.00180	-0.00758
-0.02073	0.01174	0.00007	-0.00468
-0.02109	0.01194	0.00122	-0.00282
-0.02133	0.01207	0.00195	-0.00182
-0.02145	0.01214	0.00243	-0.00138
-0.02150	0.01216	0.00275	-0.00126
-0.02148	0.01214	0.00299	-0.00128
-0.02141	0.01210	0.00315	-0.00137
-0.02129	0.01203	0.00327	-0.00146
-0.02114	0.01194	0.00334	-0.00154
-0.02097	0.01183	0.00339	-0.00160
-0.02078	0.01172	0.00343	-0.00165
