3.33387	2.16386	0.83929	0.00495	
2.66258	1.50352	0.41815	0.00607	
1.64770	0.55052	-0.00673	0.00711	
0.90677	-0.00744	-0.13393	0.00674	
-1.61995	-1.39530	-0.41780	0.00594	
-2.44210	-1.59770	-0.48297	0.00556	
-1.93151	-1.09857	-0.36999	0.00257	
-1.31864	-0.68817	-0.23178	0.00061	
-0.72678	-0.34095	-0.10561	-0.00105	
-0.46103	-0.19206	-0.05553	-0.00151	
-0.21481	-0.06211	-0.01538	-0.00182	
-0.12586	-0.01966	-0.00254	-0.00191	
-0.05785	0.00728	0.00509	-0.00194	
-0.03644	0.01268	0.00627	-0.00194	
-0.02259	0.01251	0.00552	-0.00192	
-0.01943	0.01030	0.00441	-0.00191	
-0.01790	0.00685	0.00277	-0.00189	
-0.01732	0.00519	0.00190	-0.00187	
-0.01587	0.00400	0.00102	-0.00185	
-0.01474	0.00381	0.00066	-0.00184	
-0.01547	-0.00060	-0.00028	-0.00178	
-0.01305	0.00052	-0.00011	-0.00174	
-0.00983	0.00178	0.00005	-0.00168	
-0.00797	0.00247	0.00011	-0.00163	
-0.00545	0.00348	0.00018	-0.00156	
-0.00394	0.00415	0.00023	-0.00150	
-0.00193	0.00514	0.00029	-0.00142	
-0.00073	0.00582	0.00033	-0.00135	
0.00084	0.00683	0.00037	-0.00125	
0.00174	0.00751	0.00038	-0.00118	
0.00184	0.00609	0.00461	-0.00106	
-0.00520	-0.00615	0.00297	-0.00094	
-0.01822	-0.01893	-0.00098	-0.00077	
-0.02319	-0.02203	-0.00240	-0.00068	
1.26429	3.42564	0.87274	0.00357	
1.75866	2.80309	0.59113	0.00454	
2.47942	0.57663	0.06914	0.00670	
3.32135	-0.91832	-0.01200	0.00711	
-0.85630	-2.44381	-0.59213	0.00589	
-2.15161	-1.81926	-0.62288	0.00520	
-2.33001	-1.08591	-0.60467	0.00358	
-1.89388	-0.62608	-0.43452	0.00272	
-0.95249	-0.05051	-0.12343	0.00205	
-0.45357	0.26896	-0.00185	0.00200	
0.06604	0.38624	0.07985	0.00180	
0.18242	0.36881	0.10188	0.00160	
0.18882	0.26510	0.07722	0.00132	
0.13002	0.18573	0.05527	0.00114	
0.03915	0.10148	0.03380	0.00094	
-0.02515	0.04909	0.01934	0.00083	
-0.09657	-0.00835	0.00026	0.00068	
-0.11859	-0.03183	-0.00852	0.00060	
-0.12662	-0.04244	-0.01204	0.00053	
-0.11969	-0.04133	-0.01158	0.00049	
-0.10126	-0.03512	-0.00958	0.00044	
-0.08713	-0.02980	-0.00796	0.00040	
-0.06679	-0.02191	-0.00563	0.00036	
-0.05484	-0.01722	-0.00427	0.00034	
-0.04004	-0.01146	-0.00263	0.00031	
-0.03230	-0.00851	-0.00181	0.00029	
-0.02354	-0.00530	-0.00093	0.00027	
-0.01929	-0.00384	-0.00053	0.00025	
-0.01475	-0.00240	-0.00017	0.00023	
-0.01267	-0.00183	-0.00003	0.00022	
-0.01047	-0.00134	0.00007	0.00020	
-0.00944	-0.00116	0.00010	0.00019	
-0.00710	-0.00099	-0.00017	0.00017	
-0.00554	-0.00042	-0.00001	0.00017	
-0.00394	0.00022	0.00015	0.00016	
-0.00327	0.00042	0.00024	0.00015	
-0.00279	0.00044	0.00032	0.00014	
-0.82791	-0.64174	-0.26580	0.00363	
0.11120	-0.81525	-0.45050	0.00424	
0.44446	-1.21768	-0.82754	0.00791	
0.85719	-1.56017	-0.77006	0.00116	
0.57444	-0.94838	-0.40132	-0.00088	
-0.57975	0.30785	0.00921	-0.00053	
0.38146	0.99439	0.63602	0.00150	
-0.11907	1.21746	0.63085	0.00181	
0.11253	1.67371	0.65392	0.00172	
-0.28524	2.14420	0.41529	-0.00229	
-0.66733	1.52149	0.20299	-0.00104	
-0.80614	0.90832	0.06024	0.00055	
-0.58813	0.79631	0.13680	0.00126	
-0.32914	0.49201	0.15553	0.00161	
-0.00393	0.27532	0.07859	0.00170	
0.17812	-0.03141	-0.00590	0.00181	
0.22633	-0.12524	-0.04073	0.00177	
0.21614	-0.10418	-0.11575	0.00148	
0.25647	-0.03370	-0.10708	0.00122	
0.26239	0.11386	-0.05123	0.00080	
0.22642	0.13986	-0.02887	0.00063	
0.12996	0.12326	0.00377	0.00046	
0.08198	0.09168	0.00697	0.00040	
0.03631	0.04619	0.00311	0.00037	
0.01664	0.02207	0.00017	0.00037	
-0.00698	-0.00681	-0.00210	0.00037	
-0.01306	-0.01688	-0.00418	0.00037	
-0.01521	-0.02172	-0.00542	0.00038	
-0.01465	-0.02072	-0.00516	0.00038	
-0.01289	-0.01627	-0.00386	0.00039	
-0.01172	-0.01258	-0.00266	0.00039	
-0.01023	-0.00734	-0.00089	0.00040	
-0.00900	-0.00438	-0.00006	0.00040	
-0.00713	-0.00093	0.00078	0.00040	
-0.00577	0.00039	0.00051	0.00040	
-0.00313	0.00174	-0.00067	0.00040	
-0.00263	0.00255	-0.00036	0.00040	
-0.00188	0.00279	-0.00032	0.00040	
-0.00212	0.00264	-0.00017	0.00040	
-0.00276	0.00222	0.00004	0.00040	
-0.00316	0.00192	0.00014	0.00040	
-0.00356	0.00156	0.00027	0.00041	
-0.00369	0.00139	0.00032	0.00041	
-0.00371	0.00124	0.00039	0.00041	
-0.00363	0.00119	0.00042	0.00042	
-0.00343	0.00115	0.00044	0.00042	
-0.00326	0.00114	0.00045	0.00042	
-0.00298	0.00113	0.00045	0.00043	
-0.00280	0.00111	0.00044	0.00043	
-0.00253	0.00107	0.00041	0.00043	
-0.00236	0.00103	0.00039	0.00043	
-0.00212	0.00097	0.00036	0.00043	
-0.00198	0.00092	0.00034	0.00043	
-0.00179	0.00084	0.00030	0.00044	
-0.00168	0.00079	0.00028	0.00044	
-2.96072	-1.62488	0.19975	-0.00291	
-2.04161	-1.54271	0.21644	-0.00311	
-1.97714	-1.15726	0.01320	-0.00405	
-2.23456	-0.39282	0.13180	-0.00508	
-1.99449	0.04538	0.55612	-0.00526	
-0.10672	0.33213	0.67449	-0.00575	
1.71071	0.73527	0.55130	-0.00663	
3.00709	1.50915	0.50358	-0.00543	
3.91075	1.39142	0.10502	-0.00522	
4.03605	1.28670	0.08728	-0.00541	
3.57130	1.20267	0.08964	-0.00497	
2.74597	1.20150	0.09321	-0.00391	
0.91387	0.34851	-0.05101	-0.00235	
0.22147	0.06715	0.00849	-0.00215	
-0.42213	-0.19233	0.05317	-0.00171	
-0.54663	-0.26303	0.01481	-0.00124	
-0.61253	-0.30221	-0.02357	-0.00064	
-0.58335	-0.27620	-0.02013	-0.00024	
-0.59466	-0.24093	0.01158	0.00053	
-0.53977	-0.21695	-0.00649	0.00064	
-0.45961	-0.19863	-0.03271	0.00063	
-0.39549	-0.18594	-0.04098	0.00065	
-0.30828	-0.15046	-0.03744	0.00060	
-0.24940	-0.12137	-0.03027	0.00056	
-0.16742	-0.08041	-0.01934	0.00051	
-0.12210	-0.05760	-0.01328	0.00049	
-0.07023	-0.03211	-0.00677	0.00048	
-0.04362	-0.02020	-0.00405	0.00048	
-0.01890	-0.00860	-0.00154	0.00047	
-0.00924	-0.00409	-0.00058	0.00047	
-0.00123	-0.00043	0.00013	0.00047	
0.65580	-0.60718	-0.14870	-0.00320	
1.57909	-0.91525	1.15679	0.00132	
0.03360	-1.01076	1.59085	0.00215	
-1.10233	-0.26708	0.10770	0.00439	
2.77738	3.96222	-0.55064	-0.00472	
0.81361	0.89297	-0.86846	-0.00145	
0.40903	-0.61674	-0.60311	-0.00029	
-1.88597	-1.43397	-0.59026	0.00395	
-1.40006	-0.49609	-0.33918	0.00292	
-0.47457	0.71189	0.10117	-0.00071	
0.10170	1.16366	0.28240	-0.00219	
0.52168	1.23071	0.32231	-0.00156	
0.52510	1.03196	0.29768	-0.00100	
0.39046	0.70344	0.24140	-0.00075	
0.16441	0.42471	0.15606	-0.00088	
-0.03679	0.12454	0.05326	-0.00095	
-0.11551	0.02107	0.01607	-0.00099	
-0.17002	-0.05638	-0.00967	-0.00114	
-0.17872	-0.07835	-0.01693	-0.00127	
-0.16774	-0.08540	-0.01919	-0.00148	
-0.14949	-0.07903	-0.01907	-0.00163	
-0.10906	-0.05700	-0.01355	-0.00191	
-0.08811	-0.04607	-0.00964	-0.00208	
-0.06955	-0.03776	-0.00665	-0.00231	
-0.04654	-0.02934	-0.00601	-0.00244	
-0.01504	-0.00470	-0.00710	-0.00268	
0.00510	0.01080	-0.00050	-0.00284	
0.02671	0.02061	0.00411	-0.00300	
0.03447	0.02331	0.00453	-0.00307	
0.03664	0.02469	0.00520	-0.00320	
0.03061	0.02160	0.00504	-0.00326	
0.01990	0.01669	0.00495	-0.00334	
0.02055	0.01412	0.00404	-0.00337	
0.02410	0.01387	0.00299	-0.00337	
0.02695	0.01428	0.00202	-0.00335	
